	superkingdom	phylum	class	order	family	genus	species
GCF_900108475.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum fulvum
GCF_900108485.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	Rheinheimera pacifica
GCF_900108505.1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	Halopenitus malekzadehii
GCF_900108515.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus karajensis
GCF_900108535.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas xanthomarina
GCF_900108565.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium rutilum
GCF_900108585.1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae	Branchiibius	Branchiibius hedensis
GCF_900108595.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fuscovaginae
GCF_900108855.1	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter koreensis
GCF_900108915.1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum	Pseudospirillum japonicum
GCF_900108945.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia diazotrophica
GCF_900108955.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium terrigena
GCF_900109025.1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Frateuria	Frateuria terrea
GCF_900109035.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cribrihabitans	Cribrihabitans marinus
GCF_900109065.1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halohasta	Halohasta litchfieldiae
GCF_900109075.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides marinus
GCF_900109085.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium gilvum
GCF_900109115.1	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora phaseoli
GCF_900109135.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	Trichococcus ilyis
GCF_900109165.1	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Bhargavaea	Bhargavaea ginsengi
GCF_900109175.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas linyingensis
GCF_900109185.1	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus reticulitermitis
GCF_900109225.1	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Propionispira	Propionispira arboris
GCF_900109245.1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Demequinaceae	Demequina	Demequina mangrovi
GCF_900109255.1	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium	Cyclobacterium xiamenense
GCF_900109285.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Jannaschia	Jannaschia helgolandensis
GCF_900109295.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cognatiyoonia	Cognatiyoonia koreensis
